,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
93,Gömlek (Çocuk için),3.7151893515776635,4.803386258617248,-1.011341957720624,0.9112044186735835,2.325797522226525,1.7137415521636612,-2.5021002507570445,4.086376570273598,1.9617996119731584,-2.225448971183819,12.923455215904234,0.0,
94,Gündelikçi Ücreti,4.387469335475336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6277092746324726,1.9349236628136035,21.404115709140157,0.8542758339755263
95,Halı,16.19838838408567,10.96026028564765,1.8574673207988335,7.2233174076207,1.6723277428150718,-1.6792874498606003,-1.4379927237074819,2.0230332141411234,-0.07715229605537166,-5.269345780466628,0.7648550047167468,0.43176835559752824,-7.046664318873597
96,Halı Temizleme,12.269720304821297,28.147870934241737,16.37626522129212,-6.443151488153031,-6.526054048947061,27.099402074551506,3.074457917186968,-5.470479088195635,21.508345887819978,2.2531257090253387,1.2494519818595506,0.08112876818284764,6.827797557875415
97,Havlu,4.49717788507511,6.003607579852166,-0.38643518983684233,-1.9144838379252849,1.4317823542440822,2.766685468949759,-1.3798265205818838,1.4892146495219416,1.7112742897722688,-1.61086644657229,1.9903748941696886,3.1277301045321115,2.243196842321049
98,Havuç,-21.54624230666705,10.290359510566383,21.845678401429637,1.5741605819838744,-1.5163741339976444,-4.700336020541018,-8.935690657096318,-13.16064026643411,-15.196721557741988,-4.895444822880712,0.0563426913854137,5.492923227444746,2.6768750371726657
99,Hazır Et Yemekleri,0.014815279430036021,0.08466829603428483,0.0,2.528347864018432,-2.996039530259298,2.8512244366541317,0.29383929692397004,2.8769786152978982,0.5239119731375697,2.159518614467415,3.4657496249759,2.524004379274558,2.916364043212738
100,Hazır Kahve,2.519970062544963,1.5690292821362473,6.4903323964357496,4.8199053165935535,2.5660676392204484,2.5040467314465076,6.422722397900094,0.18958374637878528,3.6271120684607805,4.994642293962137,7.294073539811641,5.103948858087359,-4.422252589483954
101,Hazır Pakette Toz Tatlılar (Puding),1.7709879977219511,1.4978700100090059,0.22820328001722512,-2.8662587559975305,-2.2784151907053296,9.111287985438143,3.3171504447375044,-0.4846291074782627,5.698460752924639,5.779260834171129,0.20893169286537727,1.010380818572565,-0.5046775196851316
102,Hazır Sütlü Tatlılar,11.940376418019948,2.9756897918639336,1.220943870333624,0.29822865483255523,0.15893428084454708,3.6581008058338638,8.863162416134717,3.4466745150016243,3.391214181848401,1.6520049914297008,1.6188013486113428,-0.6945668313828701,7.750071734376574
103,"Hazır Yemekler (Pilav, Kuru Fasulye)",-0.6022208740346868,-18.024927223936725,10.447906715531863,0.572184559356681,3.4344929251950873,0.2240856907104627,1.9571274207413891,-5.57491830194996,0.8460124980784967,0.9727135052031155,1.3896983334823032,2.9702366281767922,1.4407140511388805
104,Hazır Çorbalar,0.4839871931830997,-6.453535839723045,11.2428430882332,1.6172643014848331,-1.9619820998936444,3.7647026397695793,1.363678825897674,0.9905237583238913,5.8114214254712415,0.3225720657560771,2.6995648001213013,1.9295102772059591,3.2536426413408592
105,Hijyenik Kadın Bağı,3.65109813217368,1.7790000926177996,4.32630048880791,1.0047584584356173,1.0411190108983392,-0.32024914917745395,1.8176701595801203,-0.34901268560803,1.166655828743579,0.8607956208666945,1.259603344892657,5.32635167488047,3.3113470804154055
106,Hijyenik Zeminler İçin Temizlik ve Bakım Ürünleri,5.0637127010674465,2.638331926783888,1.4430731765187055,1.4642509561421102,-0.2507255166865785,0.9306353986205051,2.6359444041371694,2.176607618153681,2.419751952520377,0.5968410557692705,1.750968519113072,3.867824270421538,2.0312082108897345
