,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2025-03-14,111.15844789133696,110.2364922199208,117.8710968295296,105.26092759342892,110.27000877566324,111.46562993280006,97.51376623602414,111.78884833182885,105.82595167759597,122.3764659665578,104.82920236460434,110.32670931962174,109.52351891159422
2025-03-15,111.15844789133696,110.23520835342929,117.8710968295296,105.2616616081823,110.13540610491228,111.27148958647454,97.51376623602414,111.8670675563676,105.67003424831252,122.3764659665578,104.82539949456108,110.31295494224882,109.45581432279243
2025-03-16,111.15844789133696,110.22371618710945,117.8710968295296,105.2394546548842,110.13687014335416,111.28305775091472,97.50304314570369,111.80903146992254,106.30445595580008,122.3764659665578,104.82741038756733,110.30528518384013,109.50369032464287
2025-03-17,111.15844789133696,110.58664215525324,117.8710968295296,105.37758468250026,110.30716652247824,111.1921102041469,97.47693965629828,111.91145837421068,107.14152352244564,122.3764659665578,104.8180779071416,110.37112480798758,109.61412362368355
2025-03-18,111.15844789133696,110.96431986599391,117.8710968295296,105.73213039088002,110.81402952556157,111.57601649877792,96.84144915871192,112.1276464600762,107.2975236063813,122.3764659665578,104.82022481550676,110.8084552914483,109.84103101557496
2025-03-19,111.15844789133696,111.05404084310118,117.8710968295296,105.74684123075114,111.34054664802696,111.59998111004424,96.9171232202202,112.20667650431146,107.38381639436848,122.3764659665578,104.77313372823042,112.84364791953328,109.98968608690087
2025-03-20,111.15844789133696,111.38355372150416,117.8710968295296,105.8840978355608,111.489305817946,111.62194648889157,97.04185815408228,112.3105123761934,107.56044677230032,122.3764659665578,104.47841121716256,113.58468683469852,110.06232364130446
2025-03-21,111.15844789133696,111.37805116818753,117.8710968295296,105.90291851677073,111.5096166797294,111.40517994205794,97.04185815408228,112.31639648987428,107.6061269207958,122.3764659665578,104.48081352703686,113.57712374135158,110.00778332244714
2025-03-22,111.15844789133696,111.35489044190884,117.8710968295296,105.94145579579964,111.60426770619809,110.8202749646046,96.97775471907688,112.35230211725592,107.5512006630835,122.3764659665578,104.47542223462756,113.48381722769903,109.84367125180124
2025-03-23,111.15844789133696,111.31834020033465,117.8710968295296,105.93972080789833,111.6658524738563,110.81212420434288,96.9265470109426,112.33206196761095,107.30199545640828,122.3764659665578,104.48823985996071,113.41279143194424,109.815275032944
2025-03-24,111.15844789133696,111.3297374340818,117.8710968295296,106.0260776173636,111.8676876266542,110.95262910322984,96.4823480428873,112.38806463735264,107.29840313896072,122.3764659665578,104.4827244260421,114.00914149847324,109.88642054747244
2025-03-25,111.15844789133696,111.21663946475968,117.8710968295296,106.16263650031172,112.0898118016252,111.1468553524306,96.555254500566,112.55328757381407,108.52117649343342,122.3764659665578,104.74904809125977,113.93470981042242,110.12208017732296
2025-03-26,111.15844789133696,111.2335974303088,117.8710968295296,106.1020646166024,112.1012158504364,111.88103064654088,95.07952486225903,112.5892401933269,108.50449617340736,122.3764659665578,105.16711086432863,113.82384935899051,110.32895572355244
2025-03-27,111.15844789133696,111.22108959998502,117.8710968295296,106.0647160237674,112.11989192761337,111.95753355243764,95.11287680960152,112.70317482667454,108.53962526063316,122.3764659665578,105.1137201119588,113.22024542065454,110.34337490073136
2025-03-28,111.15844789133696,111.1465784072629,117.8710968295296,105.99794702551516,112.13344252326274,112.06372053424788,95.12050486038396,112.83929995895863,108.73711709495764,122.3764659665578,105.11203877918366,113.1853983989764,110.40488194985464
2025-03-29,111.15844789133696,111.06606864350032,117.8710968295296,105.88974837222295,112.12576694675998,112.50029161353548,95.1324678187308,112.94223226851534,109.11369855983064,122.3764659665578,105.29949831463448,113.28380148308142,110.59734791092188
2025-03-30,111.15844789133696,111.06606864350032,117.8710968295296,105.88974837222295,112.12576694675998,112.50029161353548,95.1324678187308,112.94223226851534,109.11369855983064,122.3764659665578,105.29949831463448,113.28380148308142,110.59734791092188
2025-03-31,111.15844789133696,111.06606864350032,117.8710968295296,105.88974837222295,112.12576694675998,112.50029161353548,95.1324678187308,112.94223226851534,109.11369855983064,122.3764659665578,105.29949831463448,113.28380148308142,110.59734791092188
2025-04-01,111.15844789133696,111.5262636094199,117.8710968295296,106.18482996994798,112.6862653526424,112.4335948895292,95.2498504719553,113.13868750238134,109.58986179606129,122.3764659665578,106.12437745199752,113.67786129705,110.87015371952774
2025-04-02,111.15844789133696,111.59010763666076,117.8710968295296,106.38013460136634,112.70279856937036,112.56202480985584,95.25682087882888,113.23689482924595,109.64338965967424,122.3764659665578,106.129678037758,113.81733943228711,110.94348615799684
2025-04-03,111.15844789133696,111.82452684908571,117.8710968295296,106.35712104764868,112.6048339611832,112.77929245959504,95.34145566136456,113.28800658140575,109.5852405954403,122.3764659665578,108.81870238473884,113.84192956768712,111.38395731345187
2025-04-04,111.15844789133696,111.75527195543611,117.8710968295296,106.26402717566232,112.4908953253434,112.42317641645556,95.38432582515344,113.53413137330205,109.6971095703231,122.3764659665578,108.81263440890446,113.90137152877116,111.31928471316012
2025-04-05,111.15844789133696,111.75095184849332,117.8710968295296,106.0825583327642,112.512214363126,112.28261931440754,95.4063833164486,116.99022828092409,109.69056738593908,122.3764659665578,108.84377210072792,113.86965728885048,111.83520545364158
2025-04-06,111.15844789133696,111.66495004162668,117.8710968295296,106.00884254630516,112.45609515430486,112.23765868087412,95.41037087653724,117.03441731925608,109.65139917767893,122.3764659665578,108.84336245632107,113.83941580590792,111.81215709164404
2025-04-07,111.15844789133696,111.6099728427797,117.8710968295296,105.94725817196417,112.52289321985624,112.24869279835076,95.45274974246284,117.32810596249826,109.61762993429592,122.3764659665578,108.84214747933436,113.8422068369482,111.86061439432191
2025-04-08,111.15844789133696,111.77830010978874,117.8710968295296,106.07847230622994,112.52682296537168,112.37566768409796,95.4155879032057,117.61465871881624,109.58309152884102,122.3764659665578,108.85059312943316,113.76347941082132,111.95286921705431
2025-04-09,111.15844789133696,112.02538572979464,117.8710968295296,106.02315674157,112.9717351470956,112.65036517439644,95.44158783462768,117.68420138347516,109.60763078374178,122.3764659665578,108.17837299485484,113.8405328677636,112.01177658614095
2025-04-10,111.15844789133696,112.31278844807588,117.86568629106785,105.9683497215546,112.84938982079149,112.75190159953316,95.44438325025423,117.75322747659342,110.13080465120922,122.3764659665578,107.27312775547686,114.00954331151144,111.994575793723
2025-04-11,111.15844789133696,112.26359843035748,117.85917717698769,105.92887759502705,112.64146324753746,112.70968512949784,95.4695751130272,117.87571395263092,110.44768449866471,122.3764659665578,107.2309892061517,114.23713598588112,112.01228044075314
2025-04-12,111.15844789133696,112.58935430095258,117.89186835305338,106.69508946344794,113.38495328017876,112.86303870373584,95.62677401582806,117.99047909890784,110.86516058313111,122.3764659665578,107.60548868364025,114.67941267072096,112.2857626579494
2025-04-13,111.15844789133696,112.70252377794556,117.90016756869034,106.95547422872086,113.64207076043498,112.76868512015324,95.64346472747094,117.9589093724116,110.57168733546963,122.3764659665578,107.6187524798945,114.84628317588025,112.27228546513304
2025-04-14,111.15844789133696,112.81051921394211,117.90016756869034,107.39609969877222,113.89706345974332,112.59565385280884,95.63290519579424,118.08770403737452,110.57457887845952,122.3764659665578,107.62968329380791,114.92687631978887,112.28670778145766
2025-04-15,111.15844789133696,113.06459591877596,117.90016756869034,107.67053823952472,114.61601074317056,113.24628210402211,95.5872284865926,118.2571938690294,110.5846707042594,122.3764659665578,107.6443566301254,115.27954376599892,112.5952273383221
2025-04-16,111.15844789133696,112.56131706985244,117.90016756869034,106.89812346490324,113.14363743121358,113.3996124599294,95.5568737538982,118.28258201158042,110.669366284572,122.3764659665578,107.65178258089692,114.88129167322312,112.46044225248912
